id,date,ASNumber,UUID,TestTime,CongestionControl,MeanThroughputMbps,MinRTT,LossRate,ClientIP,StartTime,EndTime,DownloadUUID,duration,ArchiveURL,Filename,processed
ndt-j4x7k_1700019913_00000000006B29A8,2024-01-06,206067.0,ndt-j4x7k_1700019913_00000000006B29A8,2024-01-06 18:14:41.050757 UTC,bbr,0.0,0.0,0.0,92.40.185.62,2024-01-06 18:14:41.050695 UTC,2024-01-06 18:14:56.051092 UTC,ndt-j4x7k_1700019913_00000000006B29A8,0 days 00:00:15.000397,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T181744.972894Z-pcap-mlab3-lhr07-ndt.tgz,2024/01/06/ndt-j4x7k_1700019913_00000000006B29A8.pcap.gz,True
ndt-ppmlg_1699950885_0000000000408352,2024-01-06,13999.0,ndt-ppmlg_1699950885_0000000000408352,2024-01-06 21:31:24.270426 UTC,bbr,0.0,0.0,0.0,2806:261:417:9dd:2a66:2e2d:951a:23cd,2024-01-06 21:31:24.270335 UTC,2024-01-06 21:31:39.270589 UTC,ndt-ppmlg_1699950885_0000000000408352,0 days 00:00:15.000254,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T213249.218560Z-pcap-mlab3-mex03-ndt.tgz,2024/01/06/ndt-ppmlg_1699950885_0000000000408352.pcap.gz,True
ndt-h895w_1700214341_00000000004E5C94,2024-01-06,264358.0,ndt-h895w_1700214341_00000000004E5C94,2024-01-06 20:29:30.971010 UTC,bbr,0.0,0.0,0.0,2804:1d48:414:e000:3181:472d:fe50:d35c,2024-01-06 20:29:30.970930 UTC,2024-01-06 20:29:45.971070 UTC,ndt-h895w_1700214341_00000000004E5C94,0 days 00:00:15.000140,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T203023.030822Z-pcap-mlab1-gru03-ndt.tgz,2024/01/06/ndt-h895w_1700214341_00000000004E5C94.pcap.gz,True
ndt-d25hs_1700168392_00000000005B62D1,2024-01-06,5089.0,ndt-d25hs_1700168392_00000000005B62D1,2024-01-06 22:23:09.505872 UTC,bbr,0.0,0.0,0.0,86.20.184.172,2024-01-06 22:23:09.505796 UTC,2024-01-06 22:23:24.506091 UTC,ndt-d25hs_1700168392_00000000005B62D1,0 days 00:00:15.000295,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T222435.118654Z-pcap-mlab3-dub01-ndt.tgz,2024/01/06/ndt-d25hs_1700168392_00000000005B62D1.pcap.gz,True
ndt-virtual-5tdlv_1700367071_00000000007997F6,2024-01-06,42831.0,ndt-virtual-5tdlv_1700367071_00000000007997F6,2024-01-06 02:34:40.312967 UTC,bbr,0.0,0.0,0.0,185.192.70.35,2024-01-06 02:34:40.312927 UTC,2024-01-06 02:34:55.313052 UTC,ndt-virtual-5tdlv_1700367071_00000000007997F6,0 days 00:00:15.000125,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T024116.678553Z-pcap-mlab1-lhr09-ndt.tgz,2024/01/06/ndt-virtual-5tdlv_1700367071_00000000007997F6.pcap.gz,True
ndt-virtual-cf964_1700366398_000000000029F397,2024-01-06,4804.0,ndt-virtual-cf964_1700366398_000000000029F397,2024-01-06 04:04:40.922992 UTC,bbr,0.0,0.0,0.0,49.195.58.34,2024-01-06 04:04:40.922963 UTC,2024-01-06 04:04:55.923116 UTC,ndt-virtual-cf964_1700366398_000000000029F397,0 days 00:00:15.000153,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T040539.777327Z-pcap-mlab1-syd07-ndt.tgz,2024/01/06/ndt-virtual-cf964_1700366398_000000000029F397.pcap.gz,True
ndt-j4x7k_1700019913_00000000006B0B11,2024-01-06,5089.0,ndt-j4x7k_1700019913_00000000006B0B11,2024-01-06 19:41:59.691290 UTC,bbr,0.0,0.0,0.0,86.31.112.63,2024-01-06 19:41:59.691246 UTC,2024-01-06 19:42:14.691558 UTC,ndt-j4x7k_1700019913_00000000006B0B11,0 days 00:00:15.000312,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T194332.000622Z-pcap-mlab3-lhr07-ndt.tgz,2024/01/06/ndt-j4x7k_1700019913_00000000006B0B11.pcap.gz,True
ndt-4zqrq_1700241920_0000000000861515,2024-01-06,9498.0,ndt-4zqrq_1700241920_0000000000861515,2024-01-06 18:35:03.609526 UTC,bbr,0.0,0.0,0.0,122.187.117.179,2024-01-06 18:35:03.609466 UTC,2024-01-06 18:35:18.609646 UTC,ndt-4zqrq_1700241920_0000000000861515,0 days 00:00:15.000180,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T183752.293273Z-pcap-mlab2-maa02-ndt.tgz,2024/01/06/ndt-4zqrq_1700241920_0000000000861515.pcap.gz,True
ndt-virtual-rgrwr_1701649381_0000000000A62D2F,2024-01-06,132771.0,ndt-virtual-rgrwr_1701649381_0000000000A62D2F,2024-01-06 16:44:32.692173 UTC,bbr,0.0,0.0,0.0,103.113.97.49,2024-01-06 16:44:32.692142 UTC,2024-01-06 16:44:47.692233 UTC,ndt-virtual-rgrwr_1701649381_0000000000A62D2F,0 days 00:00:15.000091,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T164540.388781Z-pcap-mlab1-del03-ndt.tgz,2024/01/06/ndt-virtual-rgrwr_1701649381_0000000000A62D2F.pcap.gz,True
ndt-p2nkj_1700053924_000000000034FF80,2024-01-06,6147.0,ndt-p2nkj_1700053924_000000000034FF80,2024-01-06 04:48:29.268544 UTC,bbr,0.0,0.0,0.0,190.235.32.74,2024-01-06 04:48:29.268475 UTC,2024-01-06 04:48:44.269544 UTC,ndt-p2nkj_1700053924_000000000034FF80,0 days 00:00:15.001069,gs://archive-measurement-lab/ndt/pcap/2024/01/06/20240106T054249.433168Z-pcap-mlab3-lim01-ndt.tgz,2024/01/06/ndt-p2nkj_1700053924_000000000034FF80.pcap.gz,True
