ts,is_downstream,packet_size,tcp_seq,tcp_flags
1711497834.627384,True,114,2925876285,ACKPSH
1711497834.627395,True,114,2925878679,ACKPSH
1711497834.627417,True,114,2925881455,ACKPSH
1711497834.628638,True,114,2925884231,ACKPSH
1711497834.629862,True,114,2925887007,ACK
1711497834.662077,False,86,2098299636,ACK
1711497834.662091,True,114,2925888395,ACKPSH
1711497834.66219,False,86,2098299636,ACK
1711497834.66219,False,86,2098299636,ACK
1711497834.662342,False,86,2098299636,ACK
1711497834.663328,True,114,2925891171,ACKPSH
1711497834.663564,False,86,2098299636,ACK
1711497834.664658,False,86,2098299636,ACK
1711497834.665753,True,114,2925893947,ACKPSH
1711497834.668182,True,114,2925896723,ACKPSH
1711497834.670617,True,114,2925899499,ACKPSH
1711497834.673045,True,114,2925902275,ACKPSH
1711497834.675477,True,114,2925905051,ACKPSH
1711497834.677906,True,114,2925907827,ACKPSH
1711497834.680347,True,114,2925910603,ACKPSH
1711497834.682776,True,114,2925913379,ACKPSH
1711497834.696869,False,86,2098299636,ACK
1711497834.69688,True,114,2925916155,ACKPSH
1711497834.697996,True,114,2925918931,ACKPSH
1711497834.698149,False,86,2098299636,ACK
1711497834.700246,True,114,2925921707,ACKPSH
1711497834.700632,False,86,2098299636,ACK
1711497834.702426,True,114,2925924483,ACKPSH
1711497834.702942,False,86,2098299636,ACK
1711497834.704648,True,114,2925927259,ACKPSH
1711497834.705331,False,86,2098299636,ACK
1711497834.706715,True,114,2925930035,ACKPSH
1711497834.707809,False,86,2098299636,ACK
1711497834.708768,True,114,2925932811,ACKPSH
1711497834.710203,False,86,2098299636,ACK
1711497834.710854,True,114,2925935587,ACKPSH
1711497834.712697,False,86,2098299636,ACK
1711497834.712922,True,114,2925938363,ACKPSH
1711497834.714988,True,114,2925941139,ACKPSH
1711497834.715048,False,86,2098299636,ACK
1711497834.717067,True,114,2925943915,ACKPSH
1711497834.7175,False,86,2098299636,ACK
1711497834.719136,True,114,2925946691,ACKPSH
1711497834.7211,True,114,2925949467,ACK
1711497834.722079,True,114,2925950855,ACKPSH
1711497834.724034,True,114,2925953631,ACKPSH
1711497834.725884,True,114,2925956407,ACKPSH
1711497834.727741,True,114,2925959183,ACKPSH
1711497834.729589,True,114,2925961959,ACKPSH
1711497834.731438,True,114,2925964735,ACKPSH
1711497834.731652,False,86,2098299636,ACK
1711497834.732719,False,86,2098299636,ACK
1711497834.733303,True,114,2925967511,ACKPSH
1711497834.734973,False,86,2098299636,ACK
1711497834.735146,True,114,2925970287,ACKPSH
1711497834.73636,True,114,2925973063,ACKPSH
1711497834.737181,False,86,2098299636,ACK
1711497834.737504,True,114,2925975839,ACKPSH
1711497834.738643,True,114,2925978615,ACKPSH
1711497834.73939,False,86,2098299636,ACK
1711497834.739788,True,114,2925981391,ACKPSH
1711497834.740356,True,114,2925982779,ACKPSH
1711497834.741442,False,86,2098299636,ACK
1711497834.741494,True,114,2925985555,ACKPSH
1711497834.742636,True,114,2925988331,ACKPSH
1711497834.74362,False,86,2098299636,ACK
1711497834.743773,True,114,2925991107,ACKPSH
1711497834.744893,True,114,2925993883,ACKPSH
1711497834.74559,False,86,2098299636,ACK
1711497834.746034,True,114,2925996659,ACKPSH
1711497834.747109,True,114,2925999435,ACKPSH
1711497834.747678,False,86,2098299636,ACK
1711497834.748222,True,114,2926002211,ACKPSH
1711497834.749304,True,114,2926004987,ACKPSH
1711497834.749734,False,86,2098299636,ACK
1711497834.750374,True,114,2926007763,ACKPSH
1711497834.751451,True,114,2926010539,ACKPSH
1711497834.751839,False,86,2098299636,ACK
1711497834.752513,True,114,2926013315,ACK
1711497834.753049,True,114,2926014703,ACKPSH
1711497834.753882,False,86,2098299636,ACK
1711497834.754109,True,114,2926017479,ACKPSH
1711497834.755166,True,114,2926020255,ACKPSH
1711497834.755872,False,86,2098299636,ACK
1711497834.756206,True,114,2926023031,ACKPSH
1711497834.756997,False,86,2098299636,ACK
1711497834.757267,True,114,2926025807,ACKPSH
1711497834.758298,True,114,2926028583,ACKPSH
1711497834.759183,False,86,2098299636,ACK
1711497834.759307,True,114,2926031359,ACKPSH
1711497834.760329,True,114,2926034135,ACKPSH
1711497834.760661,False,86,2098299636,ACK
1711497834.761339,True,114,2926036911,ACKPSH
1711497834.762345,True,114,2926039687,ACKPSH
1711497834.763357,True,114,2926042463,ACKPSH
1711497834.763368,False,86,2098299636,ACK
1711497834.764311,True,114,2926045239,ACK
1711497834.764823,True,114,2926046627,ACKPSH
1711497834.764843,False,86,2098299636,ACK
1711497834.765788,True,114,2926049403,ACKPSH
1711497834.766255,False,86,2098299636,ACK
1711497834.766762,True,114,2926052179,ACKPSH
1711497834.767704,True,114,2926054955,ACKPSH
1711497834.768011,False,86,2098299636,ACK
1711497834.768637,True,114,2926057731,ACKPSH
1711497834.769548,True,114,2926060507,ACKPSH
1711497834.769924,False,86,2098299636,ACK
