model_name,total,delta,slope,correlation_coef,tiger_score,avg_abs_error,avg_abs_error_normalized,median_abs_error,median_abs_error_normalized,98th_abs_error,98th_avg_abs_error,98th_abs_error_normalized,98th_avg_abs_error_normalized,slope_98th,correlation_coef_98th,tiger_score_98th,mse,mse_98th
10s_1s,10.0,1.0,0.509318,0.5390517374729409,0.40214011561223995,30.355574,826.6328,7.300705,133.95084,334.19071899414024,19.316023,6022.992578124995,546.40326,0.7052086754664851,0.83993757,0.7217257443552162,9118.44,1938.5562
10s_5s,10.0,5.0,0.37500137,0.049829602631498125,0.032545597080975215,44.432957,2960.1987,23.748058,360.7008,383.51312499999824,29.233936,27968.2802734375,1732.6067,0.22968769263431701,0.6665413,0.3518622612408343,16794.836,2726.4622
5s_0.01s,5.0,0.01,0.6872129,0.39292962396391035,0.3338600240141851,28.681581,188.83383,1.7817802,59.900345,370.96484985351464,15.088804,1316.26868896484,126.11097,0.6124452228966258,0.7439899,0.6013004284511485,17404.926,1998.33
5s_0.05s,5.0,0.05,0.53260887,0.32866996040866475,0.25000039042521377,32.052174,325.5963,2.8515253,83.04715,356.90473388671836,16.966854,2201.1075927734373,226.42737,0.6788491525853094,0.75631255,0.6392067763543814,16152.063,2279.7258
15s_0.2s,15.0,0.2,0.0018554669,0.2861008956306704,0.018630457349902547,3633.275,83613.56,626.7465,20379.205,36995.94867187496,1894.678,737827.1037499992,57984.266,0.5618345216364318,0.009933919,0.007733514796458476,242902540.0,19933896.0
2.5s_0.05s,2.5,0.05,0.6170314,0.30835107126618294,0.25002133087867146,20.020807,321.64624,3.736534,94.24449,172.38218627929672,12.326657,2160.5220605468744,256.6016,0.6502421894599278,0.68659776,0.5695370110073358,6227.9336,717.25714
1s_0.05s,1.0,0.05,0.51453435,0.39915073404877205,0.29909268300849334,35.44633,667.0028,5.0928116,149.90259,375.4793280029292,22.280596,4706.585390624999,512.6956,0.6673508373835402,0.83494246,0.7004458228635188,13725.745,3472.3044
7.5s_0.05s,7.5,0.05,0.74172544,0.45705338673729157,0.4014340985259623,28.070105,321.32626,3.3095636,90.6697,327.21903869628875,15.822093,2241.0496435546875,219.67259,0.7380090488347303,0.7572484,0.6636487549241542,11893.953,1963.1305
15s_0.05s,15.0,0.05,0.6513881,0.3623544384661019,0.3008051373027533,34.098476,636.7672,3.0720873,82.6674,399.2751580810542,20.534,3868.114526367177,302.04745,0.5546473992067125,0.6074704,0.4702763117990135,18690.064,3223.1292
2.5s_0.01s,2.5,0.01,0.8175928,0.31034161012729694,0.2843513771791172,25.657393,195.29195,1.9285526,72.74945,253.27007019042938,13.144747,1168.7114233398406,135.17432,0.6591223365903361,0.6233767,0.5201499127932799,15896.604,1293.9398
5s_0.2s,5.0,0.2,0.22613695,0.22272304203161264,0.11678102161697038,32.857315,756.087,4.5408792,95.67236,414.58320495605454,16.449623,5493.637626953121,358.21375,0.49463914526960184,0.6173822,0.4547631846076375,21821.938,1944.0396
1s_0.01s,1.0,0.01,0.50691295,0.3144286042388682,0.2340864332898761,35.73839,311.4669,2.999856,92.07047,569.3410839843743,21.048302,2269.149863281249,239.50436,0.6101283208827957,0.6067334,0.4895617679318036,16466.236,4096.983
10s_0.05s,10.0,0.05,0.902612,0.4304671044307965,0.41173173043042127,24.423412,322.70554,1.949254,62.435684,262.37129577636694,13.103059,1989.0770385742185,154.36017,0.6138160123092177,0.65391326,0.5290129572430746,13773.3125,1433.0093
1s_0.2s,1.0,0.2,0.71517146,0.3058364063499953,0.2643993136115776,37.52142,940.8209,8.738216,184.70877,340.4460052490225,21.85624,6863.661474609372,554.4799,0.35764227663414583,0.46444672,0.29716742661295936,17233.527,2405.8096
7.5s_0.01s,7.5,0.01,0.95242524,0.6067067867699474,0.5939983359617004,23.601318,335.09003,2.3674498,68.757416,326.5567340087891,13.130545,2150.7986230468737,198.17003,0.7997396102883685,0.8458767,0.7676410212299567,8479.318,1564.2424
10s_0.2s,10.0,0.2,0.64822406,0.5479387188253103,0.4539053052370457,26.101229,202.89955,2.978507,73.412025,354.4607666015624,14.743762,1602.4121289062464,157.10078,0.5800628864066549,0.64034045,0.5054631124232777,9474.618,1748.8802
10s_0.01s,10.0,0.01,1.2177626,0.6918167811372669,0.6350847949515244,17.509743,178.22131,1.6719313,49.891823,193.01306854248026,9.380251,1749.6390698242171,108.14872,0.7418096643181166,0.82032204,0.7205317477217975,5721.026,617.1659
